Loaded 2052169 nodes for label Comment
Loaded 90492 nodes for label Forum
Loaded 9892 nodes for label Person
Loaded 1003605 nodes for label Post
Loaded 7955 nodes for label Organisation
Loaded 1460 nodes for label Place
Loaded 16080 nodes for label Tag
Loaded 71 nodes for label Tagclass
Nodes loaded in 57.9698s
Loaded 1003605 edges for containerOf
Loaded 2052169 edges for commentHasCreator
Loaded 1003605 edges for postHasCreator
Loaded 229166 edges for hasInterest
Loaded 1611869 edges for hasMember
Loaded 90492 edges for hasModerator
Loaded 2698393 edges for commentHasTag
Loaded 309766 edges for forumHasTag
Loaded 713258 edges for postHasTag
Loaded 16080 edges for hasType
Loaded 2052169 edges for commentIsLocatedIn
Loaded 7955 edges for organisationIsLocatedIn
Loaded 9892 edges for personIsLocatedIn
Loaded 1003605 edges for postIsLocatedIn
Loaded 1454 edges for isPartOf
Loaded 70 edges for isSubclassOf
Loaded 180623 edges for knows
Loaded 1438418 edges for likeComment
Loaded 751677 edges for likePost
Loaded 1040749 edges for replyOfComment
Loaded 1011420 edges for replyOfPost
Loaded 7949 edges for studyAt
Loaded 21654 edges for workAt
Edges loaded in 241.0531s
